gene,coefficient
TMSB10,0.0585442650366939
ENSA,0.0303321200252018
ASPN,0.0353307063171115
YWHAZ,0.0397202587325218
HES6,0.0484974690199927
STC2,0.0407681758498952
ASNS,0.0359744747413487
HAVCR2,0.0224268657383136
F5,0.0241858483224475
RFTN1,0.0444216408194979
SOX4,0.0170105746186685
PTPN9,0.0468832359340348
ALDH1A1,0.0259414068737554
MRPL11,0.0223652699444301
GABRD,0.0521568100111632
RC3H2,0.035243445128123
CST2,0.0418095946610025
CXCR4,0.0464842750709513
FOXH1,0.0491269321447875
KIF7,0.0244343282085666
BARD1,0.0220146925245359
CADPS,0.0416804820494348
RNF19A,0.0180300719990522
CAMK2N1,0.067194186487649
GPR37,0.0262324623411712
KCTD14,-0.0495967151775115
AZGP1,-0.0869310323092144
PART1,-0.0921387926175466
CHRNA2,-0.0440260708605766
DPT,-0.0476894404300216
EDN3,-0.026563178655553
LTF,-0.063835182193674
SIDT1,-0.0333937932588824
CBLL1,-0.0504418792189937
PTN,-0.0345302897373036
CCK,-0.0330979128065671
UFM1,-0.0439450141672567
CPA3,-0.0437304373986636
CDC42EP5,-0.0600743006693073
AKAP7,-0.0221268095259599
KLF4,-0.046557750286702
