"gene","direction","used_in_locked_model"
"TMSB10","POS (up in mets)",TRUE
"ENSA","POS (up in mets)",TRUE
"ASPN","POS (up in mets)",TRUE
"YWHAZ","POS (up in mets)",TRUE
"HES6","POS (up in mets)",TRUE
"STC2","POS (up in mets)",TRUE
"ASNS","POS (up in mets)",TRUE
"HAVCR2","POS (up in mets)",TRUE
"ARL6IP1","POS (up in mets)",FALSE
"F5","POS (up in mets)",TRUE
"RFTN1","POS (up in mets)",TRUE
"SOX4","POS (up in mets)",TRUE
"PTPN9","POS (up in mets)",TRUE
"ALDH1A1","POS (up in mets)",TRUE
"MRPL11","POS (up in mets)",TRUE
"GABRD","POS (up in mets)",TRUE
"RC3H2","POS (up in mets)",TRUE
"CST2","POS (up in mets)",TRUE
"CXCR4","POS (up in mets)",TRUE
"SEM1","POS (up in mets)",FALSE
"FOXH1","POS (up in mets)",TRUE
"KIF7","POS (up in mets)",TRUE
"BARD1","POS (up in mets)",TRUE
"CADPS","POS (up in mets)",TRUE
"RNF19A","POS (up in mets)",TRUE
"CAMK2N1","POS (up in mets)",TRUE
"GPR37","POS (up in mets)",TRUE
"KCTD14","NEG (down in mets)",TRUE
"AZGP1","NEG (down in mets)",TRUE
"PART1","NEG (down in mets)",TRUE
"CHRNA2","NEG (down in mets)",TRUE
"DPT","NEG (down in mets)",TRUE
"EDN3","NEG (down in mets)",TRUE
"KIAA1210","NEG (down in mets)",FALSE
"LTF","NEG (down in mets)",TRUE
"SIDT1","NEG (down in mets)",TRUE
"CBLL1","NEG (down in mets)",TRUE
"PTN","NEG (down in mets)",TRUE
"CCK","NEG (down in mets)",TRUE
"UFM1","NEG (down in mets)",TRUE
"CPA3","NEG (down in mets)",TRUE
"CDC42EP5","NEG (down in mets)",TRUE
"TMEM121B","NEG (down in mets)",FALSE
"AKAP7","NEG (down in mets)",TRUE
"KLF4","NEG (down in mets)",TRUE
